company_name,company_number,company_status,company_type,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,SICCODE_1,SICCODE_2,SICCODE_3,Value
WAVEDENT LTD,7826361,active,ltd,,27-10-2011,['86230'],,17 Hawes Street,Ipswich,IP2 8RL,,Suffolk,England,86230,,,,TRUE
SDL REALISATIONS 2020 LIMITED,7827872,liquidation,ltd,,28-10-2011,['86230'],,C/O Teneo Financial Advisory Limited 156 Great Charles Street,Birmingham,B3 3HN,Queensway,West Midlands,,86230,,,,TRUE
BALTIC DENTAL PRACTICE LTD,7855575,dissolved,ltd,26-01-2016,21-11-2011,['86230'],,169 Cross Road,Romford,RM7 8EA,Mawneys,,,86230,,,,TRUE
AONA MEDIC CUBE LIMITED,7806738,dissolved,ltd,26-05-2015,12-10-2011,['86210'],,39 Grove Road,Barnet,EN4 9DJ,Cockfosters,,England,86210,,,,TRUE
USHODAYA MEDICAL SERVICES LIMITED,7807516,dissolved,ltd,17-11-2020,12-10-2011,['86210'],,19 Stapleton Close,Sutton Coldfield,B76 1XT,Minworth,West Midlands,United Kingdom,86210,,,,TRUE
'ETERNITY'S SUNRISE LTD,7807066,dissolved,ltd,26-01-2016,12-10-2011,['86210'],,Wylam Lodge,Knaresborough,HG5 9DE,Lands Lane,,,86210,,,,TRUE
KBO CONSULTANCY LIMITED,7809069,dissolved,ltd,27-03-2018,13-10-2011,"['86210', ' 86900']",,118-120 London Road,Mitcham,CR4 3LB,,Surrey,,86210,86900,,,TRUE
LOPEZ MEDICAL SERVICES LIMITED,7810569,dissolved,ltd,03-10-2017,14-10-2011,['86210'],,123 Galingale View,Newcastle Under Lyme,ST5 2GQ,Off Keele Road,North Staffordshire,,86210,,,,TRUE
SWIECH MEDICAL SERVICES LIMITED,7812813,dissolved,ltd,16-02-2016,17-10-2011,['86210'],,3 Carrera House,Aylesbury,HP19 8DP,Merlin Centre Gatehouse Close,Buckinghamshire,,86210,,,,TRUE
BALEPHETRISH LIMITED,7814735,dissolved,ltd,30-09-2014,18-10-2011,['86210'],,Unit 9 Newhaven Enterprise Centre,Newhaven,BN9 9BA,Denton Island,East Sussex,England,86210,,,,TRUE
ASK A GP LIMITED,7814901,dissolved,ltd,02-02-2016,19-10-2011,['86210'],,3 Bilton Hall,Rugby,CV22 7LX,Church Walk Bilton,,,86210,,,,TRUE
PT ANTHONY LTD,7817962,dissolved,ltd,27-03-2018,20-10-2011,['86210'],,Pegasus House 5 Winckley Court,Preston,PR1 8BU,Mount Street,Lancashire,,86210,,,,TRUE
TYMPANOMED LIMITED,7816770,dissolved,ltd,12-01-2016,20-10-2011,['86210'],,6d Ocean House,Barnet,EN5 5FP,Bentley Way New Barnet,Hertfordshire,,86210,,,,TRUE
S P MEHTA LIMITED,7816729,dissolved,ltd,28-05-2019,20-10-2011,['86210'],,56 Redhouse Road,Wolverhampton,WV6 8SP,,,,86210,,,,TRUE
AQUAVILLE LIMITED,7817744,dissolved,ltd,17-02-2015,20-10-2011,['86210'],,Global House,London,E1 7HW,5a Sandys Row,,,86210,,,,TRUE
SAFFAR LOCUM LTD,7825497,dissolved,ltd,10-01-2017,27-10-2011,['86210'],,10 Claypit Road,Chester,CH4 7QX,,,Great Britain,86210,,,,TRUE
KHAN 85 LTD,7824827,dissolved,ltd,16-02-2016,26-10-2011,['86210'],,76 Bolton Road,Harrow,HA1 4SA,,Middlesex,,86210,,,,TRUE
PARK VIEW CENTRE LIMITED,7830630,dissolved,ltd,19-01-2016,01-11-2011,['86210'],,Park View Centre,Nottingham,NG10 3RJ,"Cranfleet Way, Long Eaton",,,86210,,,,TRUE
COX MEDICOLEGAL LTD,7830981,dissolved,ltd,07-04-2020,01-11-2011,['86210'],,21 Gilbert Road,Cambridge,CB4 3NX,,Cambridgeshire,,86210,,,,TRUE
DR SONIA CHESTER LTD,7832541,dissolved,ltd,23-02-2016,02-11-2011,['86210'],,2a Tremadoc Road,London,SW4 7NE,Clapham,,,86210,,,,TRUE
NISHITH KUMAR MEDICAL SERVICES LTD,7839345,dissolved,ltd,28-03-2017,08-11-2011,['86210'],,16 Darwin Avenue,Dartford,DA1 5RR,,,England,86210,,,,TRUE
JAMES CLARKE ASSOCIATES LTD,7841803,dissolved,ltd,06-06-2017,10-11-2011,['86210'],,7 Lindum Terrace,Lincoln,LN2 5RP,,Lincolnshire,,86210,,,,TRUE
HELLAGOOD LTD,7852908,dissolved,ltd,14-10-2014,18-11-2011,['86210'],,573 Chester Road,Sutton Coldfield,B73 5HU,573 Chester Road,West Midlands,,86210,,,,TRUE
D J MURPHY LIMITED,7850443,dissolved,ltd,04-05-2021,16-11-2011,['86210'],,29 Glendarvon Street,London,SW15 1JS,Putney,,,86210,,,,TRUE
FSQ LIMITED,7852809,dissolved,ltd,07-11-2017,18-11-2011,['86210'],,16 Beaumont Road,Leicester,LE5 3HA,,,England,86210,,,,TRUE
THE ORIGINAL TRUFFLES LTD,7833180,dissolved,ltd,16-06-2015,03-11-2011,['46310'],,11 Primary Court,Cambridge,CB4 1NB,,,,46310,,,,TRUE
WATERMELON DISTRIBUTION CENTRE LIMITED,7850830,dissolved,ltd,23-05-2017,17-11-2011,['46310'],,Unit 3 33 Shaftesbury Road,London,N18 1SW,,,,46310,,,,TRUE
ASHTON RAINS LTD,7804358,dissolved,ltd,05-12-2017,10-10-2011,['68310'],,372 Palatine Road,Manchester,M22 4FZ,,,England,68310,,,,TRUE
D M S CONSULTANTS LTD,7806452,dissolved,ltd,05-12-2017,12-10-2011,['68310'],,83 High Street,Chesham,HP5 1DE,,Buckinghamshire,,68310,,,,TRUE
SCOTT & SCOTT INVESTMENT PROPERTIES LIMITED,7804914,dissolved,ltd,01-11-2016,11-10-2011,['68310'],,Flat 3 Warren Road,Crowborough,TN6 1TT,Warren Wood,East Sussex,,68310,,,,TRUE
CLARKE RESIDENTIAL LIMITED,7807436,dissolved,ltd,04-02-2020,12-10-2011,['68310'],,"Delamere, Clock House High Road",Stowmarket,IP14 3AP,Great Finborough,Suffolk,United Kingdom,68310,,,,TRUE
SPEED PROPERTY SERVICES LTD,7806919,dissolved,ltd,29-08-2017,12-10-2011,['68310'],,15 Miles Close,London,SE28 0NJ,,,,68310,,,,TRUE
AKELA REAL ESTATE LTD,7809110,dissolved,ltd,17-08-2021,13-10-2011,['68310'],,12 Bridewell Place,London,EC4V 6AP,Third Floor East,,,68310,,,,TRUE
JACKSON ESTATES LIMITED,7810181,dissolved,ltd,17-11-2020,14-10-2011,['68310'],,8 Fountain Court,Winsford,CW7 1AJ,,Cheshire,,68310,,,,TRUE
RUSSELL AND DURRANT LIMITED,7811843,dissolved,ltd,13-10-2020,17-10-2011,['68310'],,Riley Accounting Gable End Sparrow Hall Business Park Leighton Road,Dunstable,LU6 2ES,Edlesborough,Bedfordshire,,68310,,,,TRUE
HOUNSLOW WEST LONDON LIMITED,7813463,dissolved,ltd,29-07-2020,18-10-2011,['68310'],,,Eastleigh,SO53 3TZ,Highfield Court Tollgate Chandlers Ford,,,68310,,,,TRUE
REDBOX RESIDENTIAL LTD,7811472,liquidation,ltd,,17-10-2011,['68310'],,Dlp House,Halifax,HX1 2QW,46 Prescott Street,West Yorkshire,,68310,,,,TRUE
PARRY COHEN LIMITED,7813029,active,ltd,,17-10-2011,['68310'],,146 New London Road,Chelmsford,CM2 0AW,,,England,68310,,,,TRUE
MS AND LS PROPERTY SERVICES LIMITED,7817607,dissolved,ltd,17-11-2020,20-10-2011,['68310'],,4b Church Street,Diss,IP22 4DD,,,England,68310,,,,TRUE
ELITE PROPERTY ESTATES LTD,7818967,dissolved,ltd,17-02-2015,21-10-2011,['68310'],,258 St Helens Road,Bolton,BL3 3PZ,,Lancashire,,68310,,,,TRUE
CRE PROPERTY DEVELOPMENT LTD,7818114,dissolved,ltd,28-03-2017,20-10-2011,['68310'],,Suite 38 Thames Innovation Centre,Erith,DA18 4AL,2 Veridion Way,Kent,,68310,,,,TRUE
GEOFFREY RAYNARD LIMITED,7822741,dissolved,ltd,02-06-2015,25-10-2011,['68310'],,187 Angel Place,London,N18 2UD,Fore Street,,United Kingdom,68310,,,,TRUE
ROUNCE & EVANS ESTATE AGENTS LIMITED,7825049,dissolved,ltd,06-06-2017,27-10-2011,['68310'],,3 Jubilee Court,King's Lynn,PE31 6HH,Hunstanton Road Dersingham,Norfolk,,68310,,,,TRUE
RESOURCE REAL ESTATE LIMITED,7825189,dissolved,ltd,17-12-2019,27-10-2011,['68310'],,Flat 2 139 Old Brompton Road,London,SW5 0LF,,,,68310,,,,TRUE
FOX GRANT (SHERBORNE) LIMITED,7824402,dissolved,ltd,27-10-2018,26-10-2011,['68310'],,Robson Scott Associates,Darlington,DL3 7SD,49 Duke Street,,,68310,,,,TRUE
THAMES VIEW HOMES (LONDON) LIMITED,7827790,dissolved,ltd,30-10-2018,28-10-2011,['68310'],,Little Manor,Pewsey,SN9 5PG,Woodborough,Wiltshire,,68310,,,,TRUE
FINEKS LONDON LTD,7828866,dissolved,ltd,27-02-2018,31-10-2011,['68310'],,291 Green Lanes,London,N13 4XS,,,England,68310,,,,TRUE
MY ESTATES (BIRMINGHAM) LTD,7837915,dissolved,ltd,30-09-2014,07-11-2011,['68310'],,361 Birchfield Road,Birmingham,B20 3BJ,Perry Barr,West Midlands,,68310,,,,TRUE
BRECKON & BRECKON (LAND & PLANNING) LIMITED,7840164,dissolved,ltd,28-04-2015,09-11-2011,['68310'],,Jamesons House,Witney,OX28 3AB,Compton Way,Oxfordshire,,68310,,,,TRUE
NEST PROPERTY LONDON LIMITED,7840112,dissolved,ltd,24-02-2015,09-11-2011,['68310'],,Flat 2 No 98 Brixton Hill,London,SW2 1QN,,,,68310,,,,TRUE
PIKE SMITH & KEMP LIMITED,7843369,dissolved,ltd,15-03-2016,11-11-2011,['68310'],,22 Queen Street,Maidenhead,SL6 1HZ,,Berkshire,,68310,,,,TRUE
FINE ESTATE AGENTS LIMITED,7846805,dissolved,ltd,14-06-2016,14-11-2011,['68310'],,Colwyn House,Colchester,CO3 3LD,Sheepen Place,Essex,,68310,,,,TRUE
JBRL LTD,7853179,dissolved,ltd,22-09-2020,18-11-2011,['68310'],,38 King William Walk,London,SE10 9HU,Greenwich,,England,68310,,,,TRUE
NESHEMA LTD,7848968,dissolved,ltd,09-09-2016,16-11-2011,['68310'],,Mountview Court 1148 High Road,London,N20 0RA,Whetstone,,,68310,,,,TRUE
GORDON HAMMOND LIMITED,7851708,dissolved,ltd,15-12-2015,17-11-2011,"['68310', ' 71111', ' 90030']",,10 Hartlepool Court,London,E16 2RL,,,,68310,71111,90030,,TRUE
RICHMONDS INVESTMENTS UK LTD,7852024,dissolved,ltd,12-04-2016,17-11-2011,['68310'],,15 Cowgate,Peterborough,PE1 1LZ,,Cambridgeshire,,68310,,,,TRUE
JASON DEAN LTD,7856134,dissolved,ltd,20-12-2016,22-11-2011,['68310'],,3 Box Gardens,Stroud,GL6 9DP,Minchinhampton,Gloucestershire,England,68310,,,,TRUE
FALCON APARTMENTS LIMITED,7855512,dissolved,ltd,13-10-2017,21-11-2011,['68310'],,Hunter House,Woodford Green,IG8 0DY,109 Snakes Lane West,Essex,,68310,,,,TRUE
"SPELL, READ, SUCCEED. LTD",7803715,dissolved,ltd,06-02-2018,10-10-2011,['85590'],,7 Cartmel Drive,Liverpool,L37 4HJ,Formby,,England,85590,,,,TRUE
SYRIAN SOCIAL CLUB COMMUNITY,7804367,dissolved,private-limited-guarant-nsc-limited-exemption,18-11-2014,10-10-2011,['85590'],,60 Neasden Lane,London,NW10 2UW,,,,85590,,,,TRUE
OP4 LIMITED,7804909,dissolved,ltd,17-10-2017,11-10-2011,['85590'],,136 St Margarets Road,Plymouth,PL7 4RF,Plympton,Devon,,85590,,,,TRUE
THE MANAGEMENT ORGANISATION LTD,7807174,dissolved,ltd,06-10-2015,12-10-2011,['85590'],,Suite 2 Clarence House,Norwich,NR1 1HH,Clarence Road,,,85590,,,,TRUE
BRIGHT LEARNING ACADEMY LIMITED,7809163,dissolved,ltd,08-12-2015,13-10-2011,['85590'],,364 High Street,Smethwick,B66 3PD,,,United Kingdom,85590,,,,TRUE
FUTURE TRAINING 4 JOBS LIMITED,7810131,dissolved,ltd,07-03-2017,14-10-2011,['85590'],,39 Gloucester Road,London,E12 5JU,,,England,85590,,,,TRUE
S.E.H. CONSULTANCY LIMITED,7810896,dissolved,ltd,10-03-2020,14-10-2011,['85590'],,42 Queens Road,Coventry,CV1 3DX,,,,85590,,,,TRUE
WIMBORNE SCHOOLS LTD,7810436,dissolved,ltd,17-02-2015,14-10-2011,['85590'],,150 Old Fort Road,Shoreham-By-Sea,BN43 5HL,,West Sussex,,85590,,,,TRUE
DIRECT MARKETING FOUNDATION,7814243,dissolved,private-limited-guarant-nsc-limited-exemption,19-11-2019,18-10-2011,['85590'],,70 Margaret Street,London,W1W 8SS,,,,85590,,,,TRUE
EXPRESS TRAINING SOLUTIONS LTD,7813839,dissolved,ltd,03-02-2015,18-10-2011,['85590'],,45 Lea Close,Reading,RG30 3NB,,Berkshire,,85590,,,,TRUE
ASPIRE HIGHER ACADEMY LIMITED,7818392,dissolved,private-limited-guarant-nsc,22-03-2022,20-10-2011,['85590'],,Grid Low Moor Business Park,Bradford,BD12 0NB,Common Road Low Moor,West Yorkshire,,85590,,,,TRUE
